text,element_type,url,title,meta_description,h1_tags,scrape_date,competitor,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent,cleaned_text
Mineflow,p,https://mineflow.ai/,Mineflow,AI-driven mineral exploration.,['Mineral exploration powered by AI'],2025-01-10T13:46:29.388057,MineFlow,0.0,0.0,0.0,0,0,Other,mineflow
Mineral exploration powered by AI,h1,https://mineflow.ai/,Mineflow,AI-driven mineral exploration.,['Mineral exploration powered by AI'],2025-01-10T13:46:29.388066,MineFlow,0.322,0.2263,0.27415,2,2,Balanced,mineral exploration powered by ai
Mineflow transforms exploration site data into highly accurate predictions of the shape  of mineral deposits.,h2,https://mineflow.ai/,Mineflow,AI-driven mineral exploration.,['Mineral exploration powered by AI'],2025-01-10T13:46:29.388068,MineFlow,0.119,0.2263,0.17265,2,3,Value Proposition,mineflow transforms exploration site data into highly accurate predictions of the shape of mineral deposits
2D Prospectivity Mapping,h3,https://mineflow.ai/,Mineflow,AI-driven mineral exploration.,['Mineral exploration powered by AI'],2025-01-10T13:46:29.388069,MineFlow,0.0,0.0,0.0,0,0,Other,d prospectivity mapping
3D Resource Modeling of a Gold Deposit,h3,https://mineflow.ai/,Mineflow,AI-driven mineral exploration.,['Mineral exploration powered by AI'],2025-01-10T13:46:29.388070,MineFlow,0.0,0.0,0.0,1,1,Balanced,d resource modeling of a gold deposit
3D Resource Modeling of a Copper Porphyry,h3,https://mineflow.ai/,Mineflow,AI-driven mineral exploration.,['Mineral exploration powered by AI'],2025-01-10T13:46:29.388072,MineFlow,0.0,0.0,0.0,1,1,Balanced,d resource modeling of a copper porphyry
Mineflow,p,https://mineflow.ai/about,Mineflow,AI-driven mineral exploration.,['About'],2025-01-10T13:46:30.279456,MineFlow,0.0,0.0,0.0,0,0,Other,mineflow
About,h1,https://mineflow.ai/about,Mineflow,AI-driven mineral exploration.,['About'],2025-01-10T13:46:30.279467,MineFlow,0.0,0.0,0.0,0,0,Other,about
"Mineflow is an AI platform for mineral exploration. We generate predictions for mineral deposit shapes and locations, empowering mining companies from initial exploration to advanced feasibility studies.",p,https://mineflow.ai/about,Mineflow,AI-driven mineral exploration.,['About'],2025-01-10T13:46:30.279470,MineFlow,0.195,0.5859,0.39044999999999996,3,4,Value Proposition,mineflow is an ai platform for mineral exploration we generate predictions for mineral deposit shapes and locations empowering mining companies from initial exploration to advanced feasibility studies
"Whether you're just beginning to explore a site or you've drilled hundreds of holes and you're refining predictions for your feasibility study, Mineflow is the essential tool in every modern geologist's toolkit. We're transforming mineral exploration with AI-powered precision, helping you uncover valuable deposits more efficiently than ever before.",p,https://mineflow.ai/about,Mineflow,AI-driven mineral exploration.,['About'],2025-01-10T13:46:30.279472,MineFlow,0.188,0.8479,0.51795,2,2,Balanced,whether youre just beginning to explore a site or youve drilled hundreds of holes and youre refining predictions for your feasibility study mineflow is the essential tool in every modern geologists toolkit were transforming mineral exploration with aipowered precision helping you uncover valuable deposits more efficiently than ever before
How It Works,h2,https://mineflow.ai/about,Mineflow,AI-driven mineral exploration.,['About'],2025-01-10T13:46:30.279473,MineFlow,0.0,0.0,0.0,0,0,Other,how it works
See Documentation for an in-depth tutorial.,p,https://mineflow.ai/about,Mineflow,AI-driven mineral exploration.,['About'],2025-01-10T13:46:30.279475,MineFlow,0.0,0.0,0.0,0,0,Other,see documentation for an indepth tutorial
