text,element_type,url,title,meta_description,h1_tags,scrape_date,competitor,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent,cleaned_text
Understand the underground,h1,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381105,Seequent,0.0,0.0,0.0,0,0,Other,understand the underground
"World leading earth-modelling, analysis, data management and collaboration software",p,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381118,Seequent,0.0,0.0,0.0,0,1,Value Proposition,world leading earthmodelling analysis data management and collaboration software
Industries we serve,h2,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381120,Seequent,0.0,0.0,0.0,0,0,Other,industries we serve
"We help organisations to understand the underground, giving the confidence to make better decisions faster.",h3,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381122,Seequent,0.507,0.8834,0.6952,0,0,Other,we help organisations to understand the underground giving the confidence to make better decisions faster
Mining,h3,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381124,Seequent,0.0,0.0,0.0,0,0,Other,mining
Energy,h3,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381125,Seequent,1.0,0.2732,0.6366,0,0,Other,energy
Civil,h3,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381132,Seequent,0.0,0.0,0.0,0,0,Other,civil
Environmental,h3,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381134,Seequent,0.0,0.0,0.0,0,0,Other,environmental
Hydrocarbon,h3,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381136,Seequent,0.0,0.0,0.0,0,0,Other,hydrocarbon
Unexploded Ordnance,h3,https://www.seequent.com/,"Seequent: Solutions for the mining, civil, environmental & energy industries","Powerful geoscience analysis, modelling & collaborative technologies to solve complex problems, manage risk, and uncover valuable insights from data.",[' Understand the underground '],2025-01-10T13:47:03.381137,Seequent,0.0,0.0,0.0,0,0,Other,unexploded ordnance
