text,element_type,url,title,meta_description,h1_tags,scrape_date,competitor,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent,cleaned_text
UnlockingSubsurface Potential,p,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.060995,Ideon,0.0,0.0,0.0,0,0,Error,unlockingsubsurface potential
Ideon revolutionizes how the world unlocks critical minerals for the clean energy transition.,h2,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061011,Ideon,0.0,0.0,0.0,0,0,Error,ideon revolutionizes how the world unlocks critical minerals for the clean energy transition
"Our innovative technology gives mining professionals geologic certainty to confidently identify, map, monitor, and target mineral deposits and other subsurface anomalies. In turn, this reduces the economic and environmental impacts of traditional techniques, such as drilling.",p,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061013,Ideon,0.0,0.0,0.0,0,0,Error,our innovative technology gives mining professionals geologic certainty to confidently identify map monitor and target mineral deposits and other subsurface anomalies in turn this reduces the economic and environmental impacts of traditional techniques such as drilling
There is no clean energy without mining.,h2,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061016,Ideon,0.0,0.0,0.0,0,0,Error,there is no clean energy without mining
"The average electric vehicle requires more than 45 kg/100 lbs of nickel and lithium, wind farms require more than 4 tonnes of zinc, and solar arrays need more than 5.5 tonnes of copper.",p,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061017,Ideon,0.0,0.0,0.0,0,0,Error,the average electric vehicle requires more than kg lbs of nickel and lithium wind farms require more than tonnes of zinc and solar arrays need more than tonnes of copper
"The energy transition depends on metals. Demand for key resources has outstripped supply, resulting in a global supply chain crisis. We must address a $12 trillion shortfall in metals supply to meet global climate change goals. Over the last 10 years, mineral discoveries and ore grade have declined 75%, with metres drilled per discovery up nearly 200%. Cost per discovery has increased by 400%, and carbon emissions are up over 40%.",p,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061019,Ideon,0.0,0.0,0.0,0,0,Error,the energy transition depends on metals demand for key resources has outstripped supply resulting in a global supply chain crisis we must address a trillion shortfall in metals supply to meet global climate change goals over the last years mineral discoveries and ore grade have declined with metres drilled per discovery up nearly cost per discovery has increased by and carbon emissions are up over
The problem is geologic uncertainty.,h2,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061021,Ideon,0.0,0.0,0.0,0,0,Error,the problem is geologic uncertainty
"Humans have been mining the Earth for tens of thousands of years. Most near-surface mineral deposits have already been discovered, forcing mining companies to search deeper underground.",p,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061023,Ideon,0.0,0.0,0.0,0,0,Error,humans have been mining the earth for tens of thousands of years most nearsurface mineral deposits have already been discovered forcing mining companies to search deeper underground
"With no way to know what lies beneath, those companies drill hundreds of narrow holes, performing geological biopsies and inferring what may lie between those holes. Without geological certainty, these companies are basing billion-dollar decisions on 1% of 1% of ore body knowledge. It’s risky, costly, and unreliable.",p,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061025,Ideon,0.0,0.0,0.0,0,0,Error,with no way to know what lies beneath those companies drill hundreds of narrow holes performing geological biopsies and inferring what may lie between those holes without geological certainty these companies are basing billiondollar decisions on of of ore body knowledge its risky costly and unreliable
Proudly trusted by,h2,https://ideon.ai/,Unlock Subsurface Potential | Muon Tomography | Ideon Technologies,Unlock the power of subsurface imaging with groundbreaking muon tomography. Discover precise mineral detection for confident decision-making.,"['Ideon Launches REVEAL™ for Exploration Solution, Activated in Partnership with Fireweed Metals (Lundin Group) in Northern Canada', 'World First: Ideon Launches REVEAL™ for Caving, In-Mine Monitoring & Modelling Solution', 'DIGITAL, Canada’s Global Innovation Cluster for Digital Technologies, Invests in Subsurface Intelligence for Unlocking Critical Minerals']",2024-11-21T11:54:33.061027,Ideon,0.0,0.0,0.0,0,0,Error,proudly trusted by
