competitorId,competitor,url,elementType,rawText,scrapeDate,title,metaDescription,contentHash,cleaned_text,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent
rival1,Claude,https://claude.com/,h3,Cookie settings,2025-12-06T22:47:08.553007,Claude,"Talk with Claude, an AI assistant from Anthropic",df9b9219f0e5a623971726c9fb6edd720eebf5a55fe3698cefc7c01f5cc2efe4,cookie settings,0.0,0.0,0.0,0,0,Other
rival1,Claude,https://claude.com/,p,"We use cookies to deliver and improve our services, analyze site usage, and if you agree, to customize or personalize your experience and market our services to you. You can read our Cookie Policyhere.",2025-12-06T22:47:08.553032,Claude,"Talk with Claude, an AI assistant from Anthropic",f760fb4cd8908fd4122dbfdc39ba5359ef53d165acc29539354f7d08121b6049,we use cookies to deliver and improve our services analyze site usage and if you agree to customize or personalize your experience and market our services to you you can read our cookie policyhere,0.144,0.6597,0.40185,0,7,Value Proposition
rival1,Claude,https://claude.com/solutions/coding,h1,ThebestAIfordevelopers,2025-12-06T22:47:11.762348,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",3aca1923e6e1931bd5c25cc8aa6d5ae0f6670a15d037fca6c35f36956f90ac29,thebestaifordevelopers,0.0,0.0,0.0,0,0,Other
rival1,Claude,https://claude.com/solutions/coding,p,Claude is the not-so-secret advantage for world class engineering teams and software companies.,2025-12-06T22:47:11.762362,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",be5fc5db25a2dd07904a350513c010ceee5d8d0b58fdd1284250cd9f3ff93793,claude is the not so secret advantage for world class engineering teams and software companies,-0.122,-0.2373,-0.17965,1,0,Technical
rival1,Claude,https://claude.com/solutions/coding,h3,80.9%,2025-12-06T22:47:11.762366,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",71e87274e69a6f5c4c60377e0457b8e43885ece5464c927c33a1dee0a5f082b6,,0.0,0.0,0.0,0,0,Other
rival1,Claude,https://claude.com/solutions/coding,p,Opus 4.5 leads on SWE-bench Verified,2025-12-06T22:47:11.762368,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",e41ae27c4f6c7a74aaf1338d7da3d74775ffcfec6dc1bd960e4078fb25305bba,opus leads on swe bench verified,0.0,0.0,0.0,1,0,Technical
rival1,Claude,https://claude.com/solutions/coding,h3,60x,2025-12-06T22:47:11.762371,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",4fa72ae634af6b070a5de71ab33d66b1dd0e0957771a25090d60e76cdb4b8199,x,0.0,0.0,0.0,0,0,Other
rival1,Claude,https://claude.com/solutions/coding,p,faster code review feedback for an AI platform customer,2025-12-06T22:47:11.762374,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",cc51baa225dd8b05a9a170f4f3acc18f4f55f090690f994e4ded6b838ecc2356,faster code review feedback for an ai platform customer,0.0,0.0,0.0,2,3,Value Proposition
rival1,Claude,https://claude.com/solutions/coding,h3,95%,2025-12-06T22:47:11.762376,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",e747bb4115cdd3296303e1512a718efcf382f81db9f88b19aea65cb3233095f0,,0.0,0.0,0.0,0,0,Other
rival1,Claude,https://claude.com/solutions/coding,p,reduction in time to run tests for an enterprise software customer,2025-12-06T22:47:11.762379,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",3bc67d91e3acf1e2ce2e1d2ef09c7148ff59f816ba05019ab8f0a73fcce52568,reduction in time to run tests for an enterprise software customer,0.0,0.0,0.0,0,2,Value Proposition
rival1,Claude,https://claude.com/solutions/coding,h2,WritecodewithClaude,2025-12-06T22:47:11.762384,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",b8eb4e66b32a07aa555a9fd3689a659efe116a4056ff398d3706ae2ca0d08e4f,writecodewithclaude,0.0,0.0,0.0,0,0,Other
rival1,Claude,https://claude.com/solutions/coding,p,Get complete insight into your codebase and accelerate exceptional software.,2025-12-06T22:47:11.762387,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",c05cf89939e82a7927560ff02f37c94c65a6b99050f54fc0b571bff5104b084c,get complete insight into your codebase and accelerate exceptional software,0.0,0.0,0.0,0,1,Value Proposition
rival1,Claude,https://claude.com/solutions/coding,p,> claude fix the authentication error in our login flow,2025-12-06T22:47:11.762391,Coding | Claude,"Transform your engineering workflow with our powerful coding model, available in Claude.ai and through the Claude API.",3dac4913574bf342d9a13e052ff21b9411330c1b4a24baafb803ada5aa81a22e,claude fix the authentication error in our login flow,-0.252,-0.4019,-0.32694999999999996,1,0,Technical
