text,element_type,url,title,meta_description,h1_tags,scrape_date,competitor,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent,cleaned_text
Your Details,h3,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666957,FleetSpace,0.0,0.0,0.0,0,0,Other,your details
Fleet Space Technologies,h1,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666974,FleetSpace,0.0,0.0,0.0,0,0,Other,fleet space technologies
Where discovery happens,h2,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666976,FleetSpace,0.0,0.0,0.0,0,0,Other,where discovery happens
Fleet Space Technologies,h3,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666978,FleetSpace,0.0,0.0,0.0,0,0,Other,fleet space technologies
We are Explorers,h2,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666980,FleetSpace,0.0,0.0,0.0,0,0,Other,we are explorers
ExoSphere by Fleet®,h3,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666981,FleetSpace,0.0,0.0,0.0,0,0,Other,exosphere by fleet
Unleash your data potential with the end-to-end capabilities of ExoSphere by Fleet® powered by space and AI. Experience predictive insights across your exploration journey and AI-powered drill targeting to scale mineral discovery today.,p,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666985,FleetSpace,0.056,0.2263,0.14115,2,2,Balanced,unleash your data potential with the endtoend capabilities of exosphere by fleet powered by space and ai experience predictive insights across your exploration journey and aipowered drill targeting to scale mineral discovery today
ExoSphere by Fleet®,h3,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666988,FleetSpace,0.0,0.0,0.0,0,0,Other,exosphere by fleet
"Our end-to-end mineral exploration solution, ExoSphere, leverages space technology, advanced multiphysics and AI to map mineral systems in real-time with near-zero environmental impact. Reimagine data-driven exploration with real-time insights at unmatched speed, scale, and depth to unlock a more sustainable path to the discoveries of tomorrow.",p,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666990,FleetSpace,0.138,0.7003,0.41915,2,3,Value Proposition,our endtoend mineral exploration solution exosphere leverages space technology advanced multiphysics and ai to map mineral systems in realtime with nearzero environmental impact reimagine datadriven exploration with realtime insights at unmatched speed scale and depth to unlock a more sustainable path to the discoveries of tomorrow
ExoSphere by Fleet®,h3,https://www.fleetspace.com/,Fleet Space Technologies | Home Page,"Fleet Space builds space-enabled technology to revolutionise mineral discovery, defence capabilities, and space exploration.",['Fleet Space Technologies'],2025-01-10T13:46:24.666992,FleetSpace,0.0,0.0,0.0,0,0,Other,exosphere by fleet
