text,element_type,url,title,meta_description,h1_tags,scrape_date,competitor,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent,cleaned_text
Finding the materials of the future with AI and HI.,h1,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102029,KoBold,0.0,0.0,0.0,1,1,Balanced,finding the materials of the future with ai and hi
What we do,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102042,KoBold,0.0,0.0,0.0,0,0,Other,what we do
KoBold invests over $100 million annually across our 70+ projects on 5 continents. KoBold also leads the world’s largest exploration R&D effort to advance the frontier of exploration technology with AI and novel hardware.,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102045,KoBold,0.179,0.6249,0.40195000000000003,2,2,Balanced,kobold invests over million annually across our projects on continents kobold also leads the worlds largest exploration rd effort to advance the frontier of exploration technology with ai and novel hardware
Multidisciplinary Science,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102046,KoBold,0.0,0.0,0.0,0,0,Other,multidisciplinary science
Turning mineral exploration into a repeatable science with 3 ingredients,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102050,KoBold,0.213,0.2263,0.21965,1,1,Balanced,turning mineral exploration into a repeatable science with ingredients
01,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102052,KoBold,0.0,0.0,0.0,0,0,Error,
Our geoscience leads have been a part of the most significant discoveries of the last generation,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102054,KoBold,0.13,0.2716,0.2008,0,0,Other,our geoscience leads have been a part of the most significant discoveries of the last generation
01,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102055,KoBold,0.0,0.0,0.0,0,0,Error,
Our geoscience leads have been a part of the most significant discoveries of the last generation,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102057,KoBold,0.13,0.2716,0.2008,0,0,Other,our geoscience leads have been a part of the most significant discoveries of the last generation
02,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102059,KoBold,0.0,0.0,0.0,0,0,Error,
KoBold invests substantially in aggregating all available information about the physics and chemistry of the Earth’s crust,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102061,KoBold,0.0,0.0,0.0,0,0,Other,kobold invests substantially in aggregating all available information about the physics and chemistry of the earths crust
02,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102062,KoBold,0.0,0.0,0.0,0,0,Error,
KoBold invests substantially in aggregating all available information about the physics and chemistry of the Earth’s crust,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102064,KoBold,0.0,0.0,0.0,0,0,Other,kobold invests substantially in aggregating all available information about the physics and chemistry of the earths crust
03,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102066,KoBold,0.0,0.0,0.0,0,0,Error,
"Our proprietary AI tools build on a concept we call Efficacy of Information (EOI), enabling KoBold to determine which data to collect at each exploration step to maximize uncertainty reduction",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102067,KoBold,-0.016,-0.128,-0.07200000000000001,2,2,Balanced,our proprietary ai tools build on a concept we call efficacy of information eoi enabling kobold to determine which data to collect at each exploration step to maximize uncertainty reduction
03,h3,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102069,KoBold,0.0,0.0,0.0,0,0,Error,
"Our proprietary AI tools build on a concept we call Efficacy of Information (EOI), enabling KoBold to determine which data to collect at each exploration step to maximize uncertainty reduction",p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102075,KoBold,-0.016,-0.128,-0.07200000000000001,2,2,Balanced,our proprietary ai tools build on a concept we call efficacy of information eoi enabling kobold to determine which data to collect at each exploration step to maximize uncertainty reduction
Our multidisciplinary approach is turning mineral exploration into a science.,h2,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102077,KoBold,0.192,0.2263,0.20915,1,1,Balanced,our multidisciplinary approach is turning mineral exploration into a science
See How it Works,p,https://www.koboldmetals.com/,"
    KoBold Metals  ",,['Finding the materials of the future with AI and HI.'],2025-01-10T13:46:53.102079,KoBold,0.0,0.0,0.0,0,0,Other,see how it works
