competitorId,competitor,url,elementType,rawText,scrapeDate,title,metaDescription,contentHash,cleaned_text,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent
rival2,Google,https://gemini.google/about,p,"gemini.google uses cookies to deliver and enhance the quality of its services and to analyze traffic. If you agree, cookies are also used to serve advertising and to personalize the content and advertisements that you see.Learn more",2025-12-06T23:31:15.453844,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",75b72ce9d26d0ff7fd94130409562bb454ed655c2a65dfe25b36886f54f86578,gemini google uses cookies to deliver and enhance the quality of its services and to analyze traffic if you agree cookies are also used to serve advertising and to personalize the content and advertisements that you see learn more,0.062,0.3612,0.2116,4,5,Value Proposition
rival2,Google,https://gemini.google/about,h1,Anewlevelofintelligence,2025-12-06T23:31:15.453907,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",ff914134f72a4a19ee0353628a95acf1cd4dedb5e29feffbc175d57c09e2f20e,anewlevelofintelligence,0.0,0.0,0.0,0,0,Other
rival2,Google,https://gemini.google/about,h2,Gemini 3is our most intelligent model,2025-12-06T23:31:15.453913,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",87e5df33c8b9ba93582c79a830c4017ce5474b20aa55a30a99b85abd6e75c55e,gemini is our most intelligent model,0.397,0.5095,0.45325,2,0,Technical
rival2,Google,https://gemini.google/about,h2,Turn words into videos,2025-12-06T23:31:15.453917,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",1188ca241b8207fa7f161303c79efd44c6aa710e59a2b5735bb03f04cc495826,turn words into videos,0.0,0.0,0.0,0,0,Other
rival2,Google,https://gemini.google/about,p,"Create high-quality, 8-second videos with our latest video generation models. Simply describe what you have in mind and watch your ideas come to life in motion.",2025-12-06T23:31:15.453920,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",0d7bf7989cbff509dfd70850658d0d9337a442631de51e7363c73a89831cafb1,create high quality second videos with our latest video generation models simply describe what you have in mind and watch your ideas come to life in motion,0.075,0.2732,0.1741,1,3,Value Proposition
rival2,Google,https://gemini.google/about,h2,Ask complex questions,2025-12-06T23:31:15.453924,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",69a228920909f413c6cd139fe794fa4c73b33273679fe268a6788e64b3c245ff,ask complex questions,0.0,0.0,0.0,1,1,Balanced
rival2,Google,https://gemini.google/about,p,"Want to understand the DNA replication process or how to build something by hand? Gemini is grounded in Google Search, so you can ask it about anything and follow up with questions until it makes sense.",2025-12-06T23:31:15.453928,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",c74db652bc9e7db9eda1122faa04e23490ffd4822ff551d5ec0d7aab297499f3,want to understand the dna replication process or how to build something by hand gemini is grounded in google search so you can ask it about anything and follow up with questions until it makes sense,0.117,0.5423,0.32965,6,1,Technical
rival2,Google,https://gemini.google/about,h2,Create images in seconds,2025-12-06T23:31:15.453931,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",aff3ab4d5ff4d9a2d0a29dc8a62a7d7fe4d52a3749a5ea321e5108ddcd79a6e6,create images in seconds,0.412,0.2732,0.3426,0,1,Value Proposition
rival2,Google,https://gemini.google/about,p,"With Nano Banana, our latest image generation model, you can get inspiration for a logo design, explore diverse styles from anime to oil paintings and create pictures in just a few words. Once generated, you can instantly download or share with others.",2025-12-06T23:31:15.453934,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",21c77042877fb02fbb66f9caae42894da6583153a475fccd8e27d53120e068b3,with nano banana our latest image generation model you can get inspiration for a logo design explore diverse styles from anime to oil paintings and create pictures in just a few words once generated you can instantly download or share with others,0.172,0.7717,0.47185,1,2,Value Proposition
rival2,Google,https://gemini.google/about,h2,Talk it out with Gemini Live,2025-12-06T23:31:15.453938,"Learn about Gemini, the everyday AI assistant from Google","Learn how Gemini works and discover groundbreaking features like image generation, Deep Research, personalisation and more to supercharge your world.",d91d592110a4fb53b880dd1e71ec05b4148fbba3edce5421c873971a10a2a9b1,talk it out with gemini live,0.0,0.0,0.0,1,0,Technical
